1/2,g,4
1/4,a,4
1/2,g,4
1,e,4
1/8,p,0
1/2,g,4
1/4,a,4
1/2,g,4
1,e,4
1/8,p,0
1,d,5
1/2,d,5
1,h,4
1/2,h,4
1/4,p,0
1,c,5
1/2,c,5
1,g,4
1/4,p,0
1,a,4
1/2,a,4
1/8,c,5
1/4,h,4
1/2,a,4
1/8,p,0
1,g,4
1/4,a,4
1/2,g,4
1,e,4
1/2,g,4
1/8,p,0
1,a,4
1/2,a,4
1/2,c,5
1/4,h,4
1/2,a,4
1/8,p,0
1/2,g,4
1/4,a,4
1/2,g,4
1,e,4
1/2,g,4
1/8,p,0
1,d,5
1/2,d,5
1/2,f,5
1/4,d,5
1/2,h,4
1/8,p,0
1,c,5
1/2,e,5
1/2,p,0
1/2,c,5
1/4,g,4
1/2,e,4
1/2,g,4
1/4,f,4
1/2,d,4
1,c,4
1/2,c,4
1/2,p,0
